sku,simulated_reorder_point,simulated_achieved_service_level,formula_reorder_point,formula_achieved_service_level,formula_undercoverage_pct
BED-001,33,0.9534,32.10,0.9398,1.02
BED-002,39,0.9544,37.70,0.9276,2.24
BED-003,20,0.9526,19.51,0.9358,1.42
BED-004,31,0.9576,30.18,0.9450,0.50
BED-005,18,0.9650,17.24,0.9460,0.40
BED-006,12,0.9512,11.95,0.9182,3.18
BED-007,14,0.9600,13.65,0.9338,1.62
BED-008,11,0.9552,10.83,0.9218,2.82
BED-009,36,0.9590,34.48,0.9346,1.54
BED-010,32,0.9566,30.74,0.9310,1.90
BED-011,21,0.9550,20.80,0.9348,1.52
BED-012,31,0.9550,29.99,0.9294,2.06
BED-013,20,0.9592,19.46,0.9400,1.00
BED-014,17,0.9594,16.60,0.9362,1.38
BED-015,13,0.9632,12.58,0.9374,1.26
BED-016,12,0.9656,11.70,0.9328,1.72
BED-017,29,0.9624,27.64,0.9352,1.48
BED-018,29,0.9514,27.90,0.9302,1.98
