date,product_id,sku,quantity_demanded
2026-02-26,1,BED-001,4
2026-02-27,1,BED-001,3
2026-02-28,1,BED-001,2
2026-03-01,1,BED-001,3
2026-03-02,1,BED-001,1
2026-03-03,1,BED-001,10
2026-03-04,1,BED-001,3
2026-03-05,1,BED-001,3
2026-03-06,1,BED-001,1
2026-03-07,1,BED-001,3
2026-03-08,1,BED-001,3
2026-03-09,1,BED-001,1
2026-03-10,1,BED-001,4
2026-03-11,1,BED-001,3
2026-03-12,1,BED-001,1
2026-03-13,1,BED-001,2
2026-03-14,1,BED-001,1
2026-03-15,1,BED-001,3
2026-03-16,1,BED-001,5
2026-03-17,1,BED-001,2
2026-03-18,1,BED-001,4
2026-03-19,1,BED-001,0
2026-03-20,1,BED-001,5
2026-03-21,1,BED-001,2
2026-03-22,1,BED-001,1
2026-03-23,1,BED-001,0
2026-03-24,1,BED-001,3
2026-03-25,1,BED-001,14
2026-03-26,1,BED-001,2
2026-03-27,1,BED-001,4
2026-03-28,1,BED-001,3
2026-03-29,1,BED-001,2
2026-03-30,1,BED-001,2
2026-03-31,1,BED-001,6
2026-04-01,1,BED-001,2
2026-04-02,1,BED-001,3
2026-04-03,1,BED-001,5
2026-04-04,1,BED-001,1
2026-04-05,1,BED-001,3
2026-04-06,1,BED-001,5
2026-04-07,1,BED-001,4
2026-04-08,1,BED-001,2
2026-04-09,1,BED-001,5
2026-04-10,1,BED-001,0
2026-04-11,1,BED-001,2
2026-04-12,1,BED-001,1
2026-04-13,1,BED-001,4
2026-04-14,1,BED-001,4
2026-04-15,1,BED-001,8
2026-04-16,1,BED-001,8
2026-04-17,1,BED-001,2
2026-04-18,1,BED-001,0
2026-04-19,1,BED-001,0
2026-04-20,1,BED-001,4
2026-04-21,1,BED-001,2
2026-04-22,1,BED-001,2
2026-04-23,1,BED-001,1
2026-04-24,1,BED-001,2
2026-04-25,1,BED-001,2
2026-04-26,1,BED-001,3
2026-04-27,1,BED-001,4
2026-04-28,1,BED-001,2
2026-04-29,1,BED-001,3
2026-04-30,1,BED-001,8
2026-05-01,1,BED-001,4
2026-05-02,1,BED-001,8
2026-05-03,1,BED-001,1
2026-05-04,1,BED-001,3
2026-05-05,1,BED-001,1
2026-05-06,1,BED-001,4
2026-05-07,1,BED-001,1
2026-05-08,1,BED-001,10
2026-05-09,1,BED-001,4
2026-05-10,1,BED-001,1
2026-05-11,1,BED-001,6
2026-05-12,1,BED-001,3
2026-05-13,1,BED-001,4
2026-05-14,1,BED-001,1
2026-05-15,1,BED-001,9
2026-05-16,1,BED-001,1
2026-05-17,1,BED-001,1
2026-05-18,1,BED-001,2
2026-05-19,1,BED-001,7
2026-05-20,1,BED-001,4
2026-05-21,1,BED-001,2
2026-05-22,1,BED-001,12
2026-05-23,1,BED-001,2
2026-05-24,1,BED-001,2
2026-05-25,1,BED-001,2
2026-05-26,1,BED-001,1
